10.0	1729
10.01	1681
10.02	1677
10.03	1658
10.04	1690
10.05	1697
10.06	1678
10.07	1719
10.08	1664
10.09	1655
10.1	1698
10.11	1749
10.12	1733
10.13	1708
10.14	1698
10.15	1668
10.16	1672
10.17	1705
10.18	1713
10.19	1684
10.2	1672
10.21	1669
10.22	1671
10.23	1659
10.24	1710
10.25	1721
10.26	1707
10.27	1682
10.28	1690
10.29	1706
10.3	1721
10.31	1737
10.32	1728
10.33	1755
10.34	1743
10.35	1726
10.36	1696
10.37	1683
10.38	1650
10.39	1694
10.4	1738
10.41	1754
10.42	1705
10.43	1709
10.44	1743
10.45	1701
10.46	1731
10.47	1749
10.48	1734
10.49	1692
10.5	1744
10.51	1745
10.52	1715
10.53	1738
10.54	1706
10.55	1719
10.56	1712
10.57	1749
10.58	1725
10.59	1708
10.6	1669
10.61	1688
10.62	1670
10.63	1655
10.64	1705
10.65	1740
10.66	1760
10.67	1774
10.68	1804
10.69	1774
10.7	1770
10.71	1795
10.72	1722
10.73	1747
10.74	1747
10.75	1783
10.76	1766
10.77	1704
10.78	1715
10.79	1777
10.8	1798
10.81	1799
10.82	1769
10.83	1760
10.84	1808
10.85	1822
10.86	1776
10.87	1712
10.88	1751
10.89	1808
10.9	1787
10.91	1789
10.92	1744
10.93	1756
10.94	1782
10.95	1759
10.96	1718
10.97	1753
10.98	1805
10.99	1756
11.0	1716
11.01	1681
11.02	1772
11.03	1790
11.04	1738
11.05	1760
11.06	1803
11.07	1786
11.08	1825
11.09	1825
11.1	1757
11.11	1742
11.12	1779
11.13	1816
11.14	1734
11.15	1769
11.16	1855
11.17	1780
11.18	1800
11.19	1735
11.2	1744
11.21	1811
11.22	1797
11.23	1764
11.24	1755
11.25	1772
11.26	1825
11.27	1786
11.28	1781
11.29	1821
11.3	1799
11.31	1778
11.32	1813
11.33	1831
11.34	1773
11.35	1774
11.36	1777
11.37	1801
11.38	1828
11.39	1798
11.4	1811
11.41	1786
11.42	1800
11.43	1804
11.44	1770
11.45	1848
11.46	1841
11.47	1822
11.48	1800
11.49	1811
11.5	1825
11.51	1804
11.52	1857
11.53	1823
11.54	1836
11.55	1778
11.56	1850
11.57	1856
11.58	1813
11.59	1817
11.6	1798
11.61	1782
11.62	1843
11.63	1904
11.64	1829
11.65	1846
11.66	1856
11.67	1867
11.68	1838
11.69	1869
11.7	1867
11.71	1830
11.72	1866
11.73	1899
11.74	1825
11.75	1821
11.76	1816
11.77	1846
11.78	1802
11.79	1804
11.8	1824
11.81	1815
11.82	1857
11.83	1848
11.84	1878
11.85	1852
11.86	1895
11.87	1814
11.88	1839
11.89	1883
11.9	1891
11.91	1900
11.92	1877
11.93	1849
11.94	1870
11.95	1875
11.96	1823
11.97	1864
11.98	1857
11.99	1874
12.0	1878
12.01	1880
12.02	1885
12.03	1834
12.04	1839
12.05	1848
12.06	1849
12.07	1839
12.08	1831
12.09	1866
12.1	1847
12.11	1904
12.12	1875
12.13	1847
12.14	1859
12.15	1838
12.16	1869
12.17	1868
12.18	1892
12.19	1914
12.2	1909
12.21	1934
12.22	1899
12.23	1908
12.24	1973
12.25	1943
12.26	1895
12.27	1879
12.28	1871
12.29	1906
12.3	1856
12.31	1816
12.32	1867
12.33	1898
12.34	1889
12.35	1897
12.36	1883
12.37	1930
12.38	1914
12.39	1861
12.4	1874
12.41	1935
12.42	1890
12.43	1888
12.44	1922
12.45	1940
12.46	1919
12.47	1864
12.48	1904
12.49	1901
12.5	1911
12.51	1876
12.52	1896
12.53	1904
12.54	1892
12.55	1961
12.56	1973
12.57	1895
12.58	1893
12.59	1953
12.6	1986
12.61	1906
12.62	1955
12.63	1975
12.64	1897
12.65	1939
12.66	1893
12.67	1904
12.68	1959
12.69	1935
12.7	1919
12.71	1956
12.72	1932
12.73	1935
12.74	1914
12.75	1920
12.76	1906
12.77	1902
12.78	1920
12.79	1927
12.8	1938
12.81	1966
12.82	1942
12.83	1998
12.84	1930
12.85	1948
12.86	1950
12.87	1964
